model,exact_acc,micro_f1,relaxed_acc,within2_acc,macro_f1,weighted_f1,mse_argmax,mae_argmax,rare_f1_5_9,rare_recall_5_9,rare_precision_5_9,mse_expected,mae_expected,oof_exact,target_exact_met
meta_plus_lp_w0.6,0.531352057478772,0.531352057478772,0.8692031352057479,0.9609732201175702,0.2943381644697148,0.5183662344356913,1.1616590463749183,0.6518615284128021,0.13805047612053561,0.10530559587163361,0.2097222222222222,0.9092624469738653,0.690829095821951,,False
oof_extra_trees1500_leaf1,0.5240039190071848,0.5240039190071848,0.8563030698889614,0.9505225342913128,0.2597492301925926,0.4959093511484234,1.2731874591770085,0.6840300457217505,0.09477068502742443,0.056990807934204156,0.29488687782805434,0.9657656060020066,0.7253594198103811,,False
oof_extra_trees1500_leaf2,0.5222077073807969,0.5222077073807969,0.8558131939908556,0.9503592423252776,0.2556751244933246,0.492974383046346,1.280698889614631,0.6869693011103853,0.09045177045177046,0.0534833091436865,0.3,0.9717994284942932,0.7257940276572967,,False
meta_plus_lp_w0.45,0.521717831482691,0.521717831482691,0.8703461789679948,0.9617896799477466,0.2922138609012128,0.5123202237846294,1.1544741998693664,0.6583932070542129,0.1376472654860333,0.1062489920980487,0.20346320346320343,0.8928867725281913,0.6814309255623046,,False
oof_extra_trees1500_leaf4,0.5213912475506205,0.5213912475506205,0.8525473546701502,0.9480731548007838,0.24306681939350314,0.4893366471049537,1.3027433050293926,0.693337687785761,0.06731816659718852,0.038509917755200775,0.2760810810810811,0.9874761506831854,0.7311180710260097,,False
meta_plus_lp_w0.3,0.517472240365774,0.517472240365774,0.8709993468321359,0.961463096015676,0.29340976048437684,0.5106017302304169,1.1603527106466363,0.66263879817113,0.1399140524280189,0.10786969843573617,0.20659246575342466,0.8907028802076286,0.6753648986513909,,False
oof_sgd_alpha0.001,0.5133899412148922,0.5133899412148922,0.8558131939908556,0.953625081645983,0.2839285835092066,0.4996271723542546,1.2984977139124756,0.6956237753102548,0.13254613807245386,0.10655861957748751,0.1850125313283208,0.882195086505032,0.682219682102568,,False
transductive_graph_lp_k35,0.5124101894186806,0.5124101894186806,0.8453625081645983,0.9462769431743958,0.26459760009961153,0.48472701671457147,1.3930437622468974,0.7173416067929458,0.11556238116132807,0.09100951459442026,0.1643939393939394,1.022312868836567,0.7327718209231453,,False
meta_plus_lp_w0.15,0.5122468974526453,0.5122468974526453,0.8706727629000653,0.9619529719137818,0.2924853353469644,0.5070238770283843,1.1665578053559764,0.6678641410842586,0.13868908100210037,0.10786969843573617,0.20103138570864587,0.9027107401741288,0.6726237823937667,,False
oof_meta_logistic_C0.35_bias,0.5099608099281515,0.5099608099281515,0.8696930111038537,0.9629327237099935,0.28973025647585643,0.5062109601709797,1.1561071195297192,0.6688438928804703,0.13020430456077406,0.10247540719238832,0.18301529790660226,0.9323551645082102,0.672309289202645,0.6828202825181677,False
oof_meta_logistic_C0.05_bias,0.5094709340300457,0.5094709340300457,0.8683866753755716,0.9634225996080993,0.2889532120256374,0.5051737671591003,1.1655780535597648,0.6711299804049641,0.1313681592039801,0.09973391388485728,0.19796747967479672,0.9273571617513247,0.6785248415720183,0.6802890503796848,False
oof_meta_logistic_C0.7_bias,0.5088177661659047,0.5088177661659047,0.8706727629000653,0.9648922273024167,0.28920481301263934,0.5071797353988577,1.143370346178968,0.666884389288047,0.12681581224390556,0.09991130462828576,0.1847293447293447,0.9333508843591986,0.6749268488072471,0.6837592879888953,False
oof_sgd_alpha0.003,0.508491182233834,0.508491182233834,0.8532005225342914,0.947583278902678,0.27223733878719203,0.4930531800649749,1.360222077073808,0.7116263879817113,0.11669225940412382,0.09774552491533624,0.14898310114450247,0.987692919172537,0.755202363531133,,False
oof_meta_logistic_C0.05,0.5083278902677988,0.5083278902677988,0.8708360548661006,0.9621162638798171,0.2909703442926647,0.5041989596839036,1.168027433050294,0.6712932723709993,0.13594691857849753,0.10598290598290598,0.19523273273273273,0.928910380618081,0.6730255584292587,0.67812525516453,False
oof_meta_logistic_C1.5_bias,0.507838014369693,0.507838014369693,0.8688765512736774,0.9642390594382756,0.29339176258569355,0.5060126264429283,1.153004572175049,0.6703135205747878,0.13763633215996304,0.10803096274794388,0.20186480186480188,0.9354362109940344,0.674881811537411,0.6846574671348086,False
oof_meta_logistic_C0.2_bias,0.507838014369693,0.507838014369693,0.8683866753755716,0.9621162638798171,0.28963151136769294,0.5041913101425485,1.1677008491182235,0.6732527759634226,0.13130952380952382,0.10358006773101111,0.19016897081413212,0.9320843521435871,0.6753382908676628,0.6814730137992978,False
oof_meta_logistic_C0.1,0.5068582625734814,0.5068582625734814,0.8711626387981711,0.9624428478118876,0.2913308767739687,0.5032641151598118,1.1657413455258,0.6719464402351404,0.13719466129438432,0.10854700854700856,0.1904391852113505,0.9310970421715307,0.6727877304375034,0.6790642606352576,False
oof_meta_logistic_C0.1_bias,0.5057152188112345,0.5057152188112345,0.8693664271717831,0.960809928151535,0.28364539688093393,0.4997093026104766,1.176518615284128,0.6761920313520575,0.12594577589015854,0.10017739074342846,0.19039502164502164,0.9290628386112388,0.6745599093122797,0.6808606189270842,False
